control,level,title,subscription,resource,status,details
2.1.2,2,Ensure that Microsoft Defender for App Service is set to 'On',Contoso-Production,,PASS,Defender for App Service is enabled.
2.1.2,2,Ensure that Microsoft Defender for App Service is set to 'On',Contoso-Development,,FAIL,Defender for App Service is not enabled.
2.1.7,2,Ensure that Microsoft Defender for Containers is set to 'On',Contoso-Production,,PASS,Defender for Containers is enabled.
2.1.7,2,Ensure that Microsoft Defender for Containers is set to 'On',Contoso-Development,,FAIL,Defender for Containers is not enabled.
2.1.9,2,Ensure that Microsoft Defender for Key Vault is set to 'On',Contoso-Production,,PASS,Defender for Key Vault is enabled.
2.1.9,2,Ensure that Microsoft Defender for Key Vault is set to 'On',Contoso-Development,,PASS,Defender for Key Vault is enabled.
2.1.10,2,Ensure that Microsoft Defender for DNS is set to 'On',Contoso-Production,,FAIL,Defender for DNS is not enabled.
2.1.10,2,Ensure that Microsoft Defender for DNS is set to 'On',Contoso-Development,,PASS,Defender for DNS is enabled.
2.1.11,2,Ensure that Microsoft Defender for open-source relational databases is set to 'On',Contoso-Production,,PASS,Defender for open-source relational databases is enabled.
2.1.11,2,Ensure that Microsoft Defender for open-source relational databases is set to 'On',Contoso-Development,,PASS,Defender for open-source relational databases is enabled.
5.1.1,1,Ensure Security Defaults are disabled on Azure Active Directory,,,MANUAL,Security Defaults status requires Policy.Read.All scope. Configure [graph_auth] in cis_audit.toml for automated evaluation. Manual check: Entra ID → Properties → Manage Security Defaults.
5.1.2,1,Ensure that 'Multi-Factor Authentication' is enabled for all non-service accounts,,,FAIL,"3 users are not registered for MFA: alice@contoso.example, bob@contoso.example, charlie@contoso.example."
5.1.3,1,Ensure that 'Allow users to remember multi-factor authentication on trusted devices' is disabled,,,MANUAL,This setting lives in the deprecated per-user MFA portal and has no stable Graph API surface. Manual check: aka.ms/mfasettings → service settings → trusted devices.
5.3.3,1,Ensure that 'Guest users access restrictions' are set to 'Guest user access is restricted to properties and memberships of their own directory objects',,,PASS,Guest access is restricted to own objects only.
5.4,2,Ensure that 'Guest invite restrictions' are set to 'Only users assigned to specific admin roles can invite guest users',,,FAIL,All users can invite guest users.
5.14,1,Ensure that 'Restrict access to the Azure AD administration portal' is set to 'Yes',,,PASS,Access to the Azure AD administration portal is restricted to admins.
5.15,1,Ensure that 'Users can register applications' is set to 'No',,,FAIL,All users can register applications.
5.16,1,Ensure that 'Guest users can register applications' is set to 'No',,,PASS,Guest users cannot register applications.
5.23,1,Ensure that no custom subscription owner roles are created,,,PASS,No custom roles with owner-level subscription scope were found across 2 subscriptions.
5.27,2,Ensure that 'Subscription leaving Entra ID directory' and 'Subscription entering Entra ID directory' is set to 'Permit no one',,,FAIL,Subscription directory transfer is not restricted.
6.1.1.1,1,Ensure the storage container storing the activity logs is not publicly accessible,Contoso-Production,,PASS,Storage container for activity logs is not publicly accessible.
6.1.1.2,2,Ensure the storage account containing the container with activity logs is encrypted with Customer Managed Key,Contoso-Production,contosologsstorage,FAIL,Storage account 'contosologsstorage' is not encrypted with a Customer Managed Key.
6.1.1.4,1,Ensure the activity log retention period is set to at least one year,Contoso-Production,,PASS,Activity log retention is set to 365 days.
6.1.1.6,1,Ensure that Activity Log Alert exists for Create or Update Network Security Group,Contoso-Production,,FAIL,No activity log alert for 'Create or Update Network Security Group' was found.
6.1.1.6,1,Ensure that Activity Log Alert exists for Create or Update Network Security Group,Contoso-Development,,PASS,Activity log alert for 'Create or Update Network Security Group' is configured.
6.1.2,1,Ensure that Activity Log Alert exists for Delete Network Security Group,Contoso-Production,,FAIL,No activity log alert for 'Delete Network Security Group' was found.
6.1.3.1,1,Ensure that logging for Azure Key Vault is 'Enabled',Contoso-Production,"contoso-prod-kv, contoso-shared-kv, contoso-secrets-kv",PASS,Diagnostic settings with AuditEvent logging are enabled on all 3 key vaults.
7.1,1,Ensure that RDP access from the Internet is evaluated and restricted,Contoso-Production,webserver-nsg,FAIL,NSG 'webserver-nsg' allows RDP (port 3389) from 0.0.0.0/0.
7.1,1,Ensure that RDP access from the Internet is evaluated and restricted,Contoso-Development,,PASS,No NSGs allow unrestricted RDP access from the internet.
7.2,1,Ensure that SSH access from the Internet is evaluated and restricted,Contoso-Production,,PASS,No NSGs allow unrestricted SSH access from the internet.
7.2,1,Ensure that SSH access from the Internet is evaluated and restricted,Contoso-Development,,PASS,No NSGs allow unrestricted SSH access from the internet.
7.3,1,Ensure that UDP access from the Internet is evaluated and restricted,Contoso-Production,,PASS,No NSGs allow unrestricted UDP access from the internet.
7.4,1,Ensure that HTTP (port 80) access from the Internet is evaluated and restricted,Contoso-Production,lb-nsg,SUPPRESSED,NSG 'lb-nsg' allows HTTP from 0.0.0.0/0 — accepted risk: public-facing load balancer.
